City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
116,Barstow,34.8986,-117.0228,48.54,36,0,4.25,US,clear sky,2022-01-09 06:50:44
117,Bethel,41.3712,-73.414,31.5,70,0,0.0,US,clear sky,2022-01-09 06:47:31
118,Havre-Saint-Pierre,50.2334,-63.5986,14.59,66,100,6.91,CA,overcast clouds,2022-01-09 06:50:15
119,Hasaki,35.7333,140.8333,57.49,34,100,4.5,JP,overcast clouds,2022-01-09 06:50:45
120,Camacha,33.0833,-16.3333,60.22,72,40,19.57,PT,scattered clouds,2022-01-09 06:50:45
121,Mount Barker,-35.0667,138.8667,92.37,35,0,7.31,AU,clear sky,2022-01-09 06:50:45
122,Castro,-24.7911,-50.0119,54.32,96,63,5.1,BR,broken clouds,2022-01-09 06:50:46
123,Riyadh,24.6877,46.7219,55.54,21,0,8.01,SA,clear sky,2022-01-09 06:47:12
124,Khatanga,71.9667,102.5,-12.69,99,30,5.21,RU,scattered clouds,2022-01-09 06:50:46
125,Providencia,28.7167,-111.5833,60.85,74,100,3.6,MX,overcast clouds,2022-01-09 06:50:47
126,Linjiang,41.8069,126.9078,22.87,64,83,0.92,CN,broken clouds,2022-01-09 06:50:47
127,Vardo,70.3705,31.1107,24.24,75,100,27.02,NO,light snow,2022-01-09 06:50:48
128,Avanigadda,16.0215,80.9181,82.54,55,17,9.48,IN,few clouds,2022-01-09 06:50:48
129,Qaqortoq,60.7167,-46.0333,10.6,80,100,1.5,GL,overcast clouds,2022-01-09 06:50:49
130,Salalah,17.0151,54.0924,75.36,26,1,4.0,OM,clear sky,2022-01-09 06:50:47
131,Arraial Do Cabo,-22.9661,-42.0278,71.98,91,100,5.3,BR,overcast clouds,2022-01-09 06:50:49
132,Fortuna,40.5982,-124.1573,42.19,100,0,8.05,US,clear sky,2022-01-09 06:50:50
133,Ucluelet,48.9329,-125.5528,44.1,93,100,9.64,CA,overcast clouds,2022-01-09 06:50:50
134,Ongandjera,-17.8833,15.0667,77.94,53,100,7.29,NA,overcast clouds,2022-01-09 06:50:51
135,Kulhudhuffushi,6.6221,73.07,80.89,73,3,11.34,MV,clear sky,2022-01-09 06:50:51
136,Pacific Grove,36.6177,-121.9166,50.14,86,0,1.01,US,clear sky,2022-01-09 06:49:36
137,Tura,25.5198,90.2201,76.86,37,0,5.46,IN,clear sky,2022-01-09 06:50:52
138,Samarinda,-0.5,117.15,83.44,82,100,2.93,ID,overcast clouds,2022-01-09 06:47:51
139,Uniontown,39.9001,-79.7164,38.55,84,100,4.45,US,overcast clouds,2022-01-09 06:50:52
140,Bambous Virieux,-20.3428,57.7575,84.45,74,40,10.36,MU,scattered clouds,2022-01-09 06:50:53
141,Mbengwi,6.0167,10.0,71.67,42,64,1.59,CM,broken clouds,2022-01-09 06:51:53
142,Kahului,20.8947,-156.47,71.83,86,40,6.91,US,scattered clouds,2022-01-09 06:51:54
143,Ancud,-41.8697,-73.8203,58.23,88,100,4.07,CL,overcast clouds,2022-01-09 06:51:24
144,Kamaishi,39.2667,141.8833,38.35,66,6,10.33,JP,clear sky,2022-01-09 06:51:55
145,Rosetta,31.4044,30.4164,53.42,68,0,22.79,EG,clear sky,2022-01-09 06:51:55
146,Ribeira Grande,38.5167,-28.7,59.59,75,98,17.38,PT,overcast clouds,2022-01-09 06:51:55
147,Meulaboh,4.1363,96.1285,80.11,77,100,3.4,ID,overcast clouds,2022-01-09 06:51:56
148,Kaitangata,-46.2817,169.8464,56.97,97,100,4.07,NZ,light rain,2022-01-09 06:51:57
149,Guarapari,-20.6667,-40.4975,73.29,96,100,2.59,BR,overcast clouds,2022-01-09 06:51:58
150,Makat,47.6469,53.3463,24.31,57,8,13.38,KZ,clear sky,2022-01-09 06:51:58
151,Carthage,36.8611,10.3316,55.26,81,40,9.22,TN,scattered clouds,2022-01-09 06:51:58
152,San Rafael,-34.6177,-68.3301,79.45,34,11,10.02,AR,few clouds,2022-01-09 06:51:59
153,Zhenhai,24.2582,118.0905,65.08,72,9,13.42,CN,clear sky,2022-01-09 06:51:59
154,Zhanaozen,43.3,52.8,34.84,56,39,19.26,KZ,scattered clouds,2022-01-09 06:52:00
155,Klaksvik,62.2266,-6.589,38.32,90,63,21.79,FO,broken clouds,2022-01-09 06:52:00
156,Batsfjord,70.6345,29.7185,22.84,80,100,22.97,NO,light snow,2022-01-09 06:52:01
157,Clyde River,70.4692,-68.5914,-10.97,77,100,20.71,CA,overcast clouds,2022-01-09 06:52:01
158,Juneau,58.3019,-134.4197,14.22,91,100,3.44,US,light snow,2022-01-09 06:51:26
159,Carutapera,-1.195,-46.02,74.91,94,100,1.39,BR,overcast clouds,2022-01-09 06:52:02
160,Rafaela,-31.2503,-61.4867,71.01,57,0,5.35,AR,clear sky,2022-01-09 06:52:02
161,Gasa,31.5,34.4667,68.88,45,5,10.76,PS,clear sky,2022-01-09 06:51:44
162,Plouzane,48.3833,-4.6167,48.38,87,75,16.11,FR,broken clouds,2022-01-09 06:52:03
163,Caravelas,-17.7125,-39.2481,76.6,91,100,10.04,BR,overcast clouds,2022-01-09 06:52:03
164,Ler,8.3018,30.1418,86.74,19,100,7.23,SS,overcast clouds,2022-01-09 06:52:04
165,Nanortalik,60.1432,-45.2371,15.71,81,100,13.47,GL,light snow,2022-01-09 06:52:04
166,Lac Du Bonnet,50.2536,-96.0612,-2.6,91,100,13.42,CA,overcast clouds,2022-01-09 06:47:42
